,Unnamed: 0,imageLink,category,cardName,s3_file_name,s3_link,hue,rgb,lightness,hue2
1312,1312,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw5dc2ccc0/images/finished-goods/Modern-Flowers-PickaTitle-1st-Mothers-Day-Card-root-399MOA2431_PV.1.MOA2431.jpg_Source_Image.jpg?sw=416&sh=416&sm=fit&yocs=27_&yoloc=us,Daughter,modern-flowers-pickatitle-1st-mothers-day-card-root-399moa2431,modern-flowers-pickatitle-1st-mothers-day-card-root-399moa2431,https://greeting-card-images.s3.amazonaws.com/modern-flowers-pickatitle-1st-mothers-day-card-root-399moa2431,42.53918907084685,"[239.64950181581153, 232.15513548747555, 214.03464009684328]",88.95767488483428,42.445270068853155
1313,1313,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw9e278442/images/finished-goods/Mortarboard-and-Books-Graduation-Card-for-Grandson_329GR4497_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Grandson,mortarboard-and-books-graduation-card-for-grandson,mortarboard-and-books-graduation-card-for-grandson,https://greeting-card-images.s3.amazonaws.com/mortarboard-and-books-graduation-card-for-grandson,42.56014926489179,"[235.58064076346284, 224.4552147239264, 197.29775051124744]",84.8781159362177,42.563344669788684
1314,1314,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw5dc2ccc0/images/finished-goods/Modern-Flowers-PickaTitle-1st-Mothers-Day-Card-root-399MOA2431_PV.1.MOA2431.jpg_Source_Image.jpg?sw=416&sh=416&sm=fit&yocs=27_&yoloc=us,Granddaughter,modern-flowers-pickatitle-1st-mothers-day-card-root-399moa2431,modern-flowers-pickatitle-1st-mothers-day-card-root-399moa2431,https://greeting-card-images.s3.amazonaws.com/modern-flowers-pickatitle-1st-mothers-day-card-root-399moa2431,42.58704178443872,"[239.29722479185938, 231.92608695652174, 213.94791859389454]",88.87159674230469,42.55304241203395
1315,1315,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwa3a439ac/images/finished-goods/Funny-Dog-High-Five-Mothers-Day-Card-root-599MOA3122_PV.1.MOA3122.jpg_Source_Image.jpg?sw=416&sh=416&sm=fit&yocs=27_&yoloc=us,Mother,funny-dog-high-five-mothers-day-card-root-599moa3122,funny-dog-high-five-mothers-day-card-root-599moa3122,https://greeting-card-images.s3.amazonaws.com/funny-dog-high-five-mothers-day-card-root-599moa3122,42.59078799984883,"[199.28717523493643, 28.197346600331674, 90.78385848535102]",44.604808202993745,338.05135031655743
1316,1316,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw214e4745/images/finished-goods/Proud-of-You-Brother-Valentines-Day-Card_299VEE1996_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Brother,proud-of-you-brother-valentines-day-card,proud-of-you-brother-valentines-day-card,https://greeting-card-images.s3.amazonaws.com/proud-of-you-brother-valentines-day-card,42.59081237573682,"[248.43744668751776, 242.4987205004265, 228.01450099516634]",93.4219505260165,42.5527827085726
1317,1317,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw31b7b33e/images/finished-goods/Youve-Made-a-in-My-Life-Birthday-Card_399MHB1743_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Any+Man,youve-made-a-in-my-life-birthday-card,youve-made-a-in-my-life-birthday-card,https://greeting-card-images.s3.amazonaws.com/youve-made-a-in-my-life-birthday-card,42.61648882022293,"[178.96853007568717, 118.85141415482671, 21.681715575620768]",39.34318542182508,37.06720066321831
1318,1318,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwf6ee302b/images/finished-goods/How-to-Give-Good-Advice-Funny-Fathers-Day-Card_369ZFD5437_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Father,how-to-give-good-advice-funny-fathers-day-card,how-to-give-good-advice-funny-fathers-day-card,https://greeting-card-images.s3.amazonaws.com/how-to-give-good-advice-funny-fathers-day-card,42.626889019246356,"[244.92850114791736, 239.88575489231442, 228.84027550016398]",92.89583855844732,41.193403053839695
1319,1319,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwad6fb036/images/finished-goods/A-Simple-Wish-for-My-Son-SpanishLanguage-Funny-Birthday-Card-root-359BIB1061_PV.1.BIB1061.jpg_Source_Image.jpg?sw=416&sh=416&sm=fit&yocs=27_&yoloc=us,Son,a-simple-wish-for-my-son-spanishlanguage-funny-birthday-card-root-359bib1061,a-simple-wish-for-my-son-spanishlanguage-funny-birthday-card-root-359bib1061,https://greeting-card-images.s3.amazonaws.com/a-simple-wish-for-my-son-spanishlanguage-funny-birthday-card-root-359bib1061,42.64410698985227,"[248.44598736473384, 99.8001501219741, 17.692062300619252]",52.183931306931974,21.34951883445742
1320,1320,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwf63774a9/images/finished-goods/Heres-to-a-Brand-New-Year-Birthday-Card-root-529HBD2217_HBD2217_1470_1.jpg_Source_Image.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Any+Woman,heres-to-a-brand-new-year-birthday-card-root-529hbd2217,heres-to-a-brand-new-year-birthday-card-root-529hbd2217,https://greeting-card-images.s3.amazonaws.com/heres-to-a-brand-new-year-birthday-card-root-529hbd2217,42.68017353983101,"[212.2688853671421, 153.49269237541822, 7.164817749603803]",43.02621629740116,42.805940318650805
1321,1321,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwd65f5200/images/finished-goods/So-Much-Good-Because-of-You-Mothers-Day-Card-root-799MOA2993_PV.1.MOA2993.jpg_Source_Image.jpg?sw=416&sh=416&sm=fit&yocs=27_&yoloc=us,Mother,so-much-good-because-of-you-mothers-day-card-root-799moa2993,so-much-good-because-of-you-mothers-day-card-root-799moa2993,https://greeting-card-images.s3.amazonaws.com/so-much-good-because-of-you-mothers-day-card-root-799moa2993,42.695942501333434,"[222.16744581385464, 166.72871511545546, 30.010199745006375]",49.446597168404125,42.68957372176244
