,index,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,imageLink,category,cardName,s3_file_name,s3_link,rgb
3648,1208,1208,1169,133,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwf1924cbd/images/finished-goods/Everything-Good-Beautiful-Birthday-Card_299FBD8257_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Daughter,everything-good-beautiful-birthday-card,everything-good-beautiful-birthday-card,https://greeting-card-images.s3.amazonaws.com/everything-good-beautiful-birthday-card,[ 78.76219206  58.9256913  129.22503771]
3649,2978,2978,2971,41,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwfbb31d14/images/finished-goods/Watercolor-Bouquet-in-Vase-Religious-Mothers-Day-Card_629MDD1237_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Mother,watercolor-bouquet-in-vase-religious-mothers-day-card,watercolor-bouquet-in-vase-religious-mothers-day-card,https://greeting-card-images.s3.amazonaws.com/watercolor-bouquet-in-vase-religious-mothers-day-card,[ 63.60603882 118.55499641  84.643422  ]
3650,1888,1888,1865,169,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwfed20753/images/finished-goods/Lucky-Me-Valentines-Day-Card-for-Husband-root-699IAV1293_IAV1293_1470_1.jpg_Source_Image.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Husband,lucky-me-valentines-day-card-for-husband-root-699iav1293,lucky-me-valentines-day-card-for-husband-root-699iav1293,https://greeting-card-images.s3.amazonaws.com/lucky-me-valentines-day-card-for-husband-root-699iav1293,[194.13696079  22.57794559  50.05617048]
3651,720,720,690,29,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw52d2b431/images/finished-goods/A-Bright-and-Sunny-Touch-Birthday-Card-for-Granddaughter-root-299FBD8183_FBD8183_1470_1.jpg_Source_Image.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Granddaughter,a-bright-and-sunny-touch-birthday-card-for-granddaughter-root-299fbd8183,a-bright-and-sunny-touch-birthday-card-for-granddaughter-root-299fbd8183,https://greeting-card-images.s3.amazonaws.com/a-bright-and-sunny-touch-birthday-card-for-granddaughter-root-299fbd8183,[91.94357977 75.20428016 99.59533074]
3652,1331,1331,1296,260,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw32abce7d/images/finished-goods/Floral-Valentines-Day-Card-for-Daughter-and-Her-Family-root-499VEE2013_PV.1.VEE2013.jpg_Source_Image.jpg?sw=416&sh=416&sm=fit&yocs=27_&yoloc=us,Daughter,floral-valentines-day-card-for-daughter-and-her-family-root-499vee2013,floral-valentines-day-card-for-daughter-and-her-family-root-499vee2013,https://greeting-card-images.s3.amazonaws.com/floral-valentines-day-card-for-daughter-and-her-family-root-499vee2013,[165.96705559  33.80370625  66.85518188]
3653,1018,1018,973,157,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw7ef87ab7/images/finished-goods/Cute-Teddy-Bear-Loved-a-Lot-Birthday-Card-for-Son_99WWV1649_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Son,cute-teddy-bear-loved-a-lot-birthday-card-for-son,cute-teddy-bear-loved-a-lot-birthday-card-for-son,https://greeting-card-images.s3.amazonaws.com/cute-teddy-bear-loved-a-lot-birthday-card-for-son,[ 53.02025783  76.70349908 136.46593002]
3654,1810,1810,1797,101,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw5aae4d7d/images/finished-goods/I-Heart-My-Husband-Valentines-Day-Card_499SV1267_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Husband,i-heart-my-husband-valentines-day-card,i-heart-my-husband-valentines-day-card,https://greeting-card-images.s3.amazonaws.com/i-heart-my-husband-valentines-day-card,[156.92206942  56.88081205  52.35690897]
3655,2728,2728,2728,322,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwe4f5c95f/images/finished-goods/Outdoor-Symbols-Spanish-Fathers-Day-Card_499FTH2087_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Father,outdoor-symbols-spanish-fathers-day-card,outdoor-symbols-spanish-fathers-day-card,https://greeting-card-images.s3.amazonaws.com/outdoor-symbols-spanish-fathers-day-card,[ 61.65659679  88.05199342 116.14200575]
3656,3191,3191,3189,259,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwaef6391b/images/finished-goods/Shine-Like-a-Star-Mothers-Day-Card_559IEM6192_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Mother,shine-like-a-star-mothers-day-card,shine-like-a-star-mothers-day-card,https://greeting-card-images.s3.amazonaws.com/shine-like-a-star-mothers-day-card,[ 16.64338575  91.52543941 157.54070305]
3657,1366,1366,1332,296,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw7c332023/images/finished-goods/Wishes-for-What-Makes-You-Happy-Christmas-Card-for-Daughter-root-659XXO1576_XXO1576_1470_1.jpg_Source_Image.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Daughter,wishes-for-what-makes-you-happy-christmas-card-for-daughter-root-659xxo1576,wishes-for-what-makes-you-happy-christmas-card-for-daughter-root-659xxo1576,https://greeting-card-images.s3.amazonaws.com/wishes-for-what-makes-you-happy-christmas-card-for-daughter-root-659xxo1576,[ 78.70938999 137.07745031  49.91980809]
