,imageLink,category,cardName,s3_file_name,s3_link,rgb,hue
3148,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw7528e386/images/finished-goods/Be-Your-Amazing-Self-Birthday-Card_699FBD8219_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Granddaughter,be-your-amazing-self-birthday-card,be-your-amazing-self-birthday-card,https://greeting-card-images.s3.amazonaws.com/be-your-amazing-self-birthday-card,[ 57.57677165 145.26968504 160.20472441],22.41594022415909
2588,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw70345f73/images/finished-goods/You-Make-Me-Smile-Birthday-Card-for-Grandma-root-299HKB8347_PV.1.HKB8347.jpg_Source_Image.jpg?sw=416&sh=416&sm=fit&yocs=27_&yoloc=us,Grandmother,you-make-me-smile-birthday-card-for-grandma-root-299hkb8347,you-make-me-smile-birthday-card-for-grandma-root-299hkb8347,https://greeting-card-images.s3.amazonaws.com/you-make-me-smile-birthday-card-for-grandma-root-299hkb8347,[214.82732316 133.72353213  85.66516412],22.450597017481087
1648,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw5761b0f5/images/finished-goods/My-Little-Pony-Valentines-Day-Card-With-Removable-Patch-root-699VEI3026_PV.1.VEI3026.jpg_Source_Image.jpg?sw=416&sh=416&sm=fit&yocs=27_&yoloc=us,Girl,my-little-pony-valentines-day-card-with-removable-patch-root-699vei3026,my-little-pony-valentines-day-card-with-removable-patch-root-699vei3026,https://greeting-card-images.s3.amazonaws.com/my-little-pony-valentines-day-card-with-removable-patch-root-699vei3026,[119.37531807 198.58015267 224.81552163],22.58698321735576
3120,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwadc0db49/images/finished-goods/Dad-Holding-Baby-Feet-1st-Fathers-Day-Card_329FD7173_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Father,dad-holding-baby-feet-1st-fathers-day-card,dad-holding-baby-feet-1st-fathers-day-card,https://greeting-card-images.s3.amazonaws.com/dad-holding-baby-feet-1st-fathers-day-card,[  3.69557965 149.2735613  214.17681401],22.652284380923714
2237,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwad1ae8bd/images/finished-goods/Flower-Bouquet-Thanksgiving-Card-for-Niece-and-Family-root-299TH6273_PV.1.TH6273.jpg_Source_Image.jpg?sw=416&sh=416&sm=fit&yocs=27_&yoloc=us,Niece,flower-bouquet-thanksgiving-card-for-niece-and-family-root-299th6273,flower-bouquet-thanksgiving-card-for-niece-and-family-root-299th6273,https://greeting-card-images.s3.amazonaws.com/flower-bouquet-thanksgiving-card-for-niece-and-family-root-299th6273,[227.2601476  145.65252153  98.64913899],22.668015250036518
2041,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw38d9a743/images/finished-goods/You-Shine-in-a-Million-Different-Ways-Birthday-Card-root-599HBD2178_HBD2178_1470_1.jpg_Source_Image.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Any+Woman,you-shine-in-a-million-different-ways-birthday-card-root-599hbd2178,you-shine-in-a-million-different-ways-birthday-card-root-599hbd2178,https://greeting-card-images.s3.amazonaws.com/you-shine-in-a-million-different-ways-birthday-card-root-599hbd2178,[222.60392799 110.18576105 159.46522095],22.686448783446465
348,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw137fdac0/images/finished-goods/Mom-Makes-Home-Mothers-Day-Card_799MSI8064_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Mother,mom-makes-home-mothers-day-card,mom-makes-home-mothers-day-card,https://greeting-card-images.s3.amazonaws.com/mom-makes-home-mothers-day-card,[238.01011002 224.86529884 231.573595  ],22.70438316242953
2464,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dwf58d72b6/images/finished-goods/Grandpa-Snoopy-Fathers-Day-Card_499FKD2095_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Grandfather,grandpa-snoopy-fathers-day-card,grandpa-snoopy-fathers-day-card,https://greeting-card-images.s3.amazonaws.com/grandpa-snoopy-fathers-day-card,[ 45.48844732 184.62939002 216.18946396],22.762917158804058
1862,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw341db644/images/finished-goods/Spring-Tulips-Easter-Card-for-Mom_579E2276_01.jpg?sw=512&sh=512&sm=fit&yocs=27_&yoloc=us,Mother,spring-tulips-easter-card-for-mom,spring-tulips-easter-card-for-mom,https://greeting-card-images.s3.amazonaws.com/spring-tulips-easter-card-for-mom,[219.5394788  170.10073901 124.80707896],22.828978489020024
2625,https://cdn-us-ec.yottaa.net/56213828312e5803810043dd/www.hallmark.com/v~4b.1bd/dw/image/v2/AALB_PRD/on/demandware.static/-/Sites-hallmark-master/default/dw4374f13f/images/finished-goods/Warmer-Brighter-Better-Birthday-Card-root-499FBD2431_PV.1.FBD2431.jpg_Source_Image.jpg?sw=416&sh=416&sm=fit&yocs=27_&yoloc=us,Wife,warmer-brighter-better-birthday-card-root-499fbd2431,warmer-brighter-better-birthday-card-root-499fbd2431,https://greeting-card-images.s3.amazonaws.com/warmer-brighter-better-birthday-card-root-499fbd2431,[200.2931701  137.78479381  91.7564433 ],22.849988105224934
